スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
The Summer of 1996,1.4,Pyro Jay,1,2020-06-15,The Summer of 1996 1.4,SimpleFlips Competition 11
Impeccable Design 2,1,dackage,1,2020-12-05,impeccable design 2 v1,
Impeccable Design 2,3,dackage,1,2020-12-10,impeccable design 2 v3,
Speed Gamer's Paradise,1.2,agyroth,70,2020-11-06,speed gamer paradise V1.2,
Impeccable Design 64,1.02,MBCollector672,7,2020-12-22,Impeccable Design 64 v1.02,
The Phantom's Christmas Call,1.1? English,PhantomPhire,30,2020-12-21,The Phantoms Christmas Call (English),
The Phantom's Christmas Call,1.1? Deutsch,PhantomPhire,30,2020-12-21,The Phantoms Christmas Call (German),
SM64 Bingo,0.9a,Quate32,,2020-12-19,bingo64.0.9a,
SM64 Bingo,0.9b,Quate32,,2020-12-20,bingo64.0.9b,
SM64 WTF Christmas Adventure,1.0,NormalX71,17,2020-12-23,SM64 WTF Christmas Adventure,
Rescue Asta 64,1.0 SFW Edition,Astaroth & MBCollector672,10,2020-12-24,Rescue Asta 64 SFW Edition,
Star Revenge 4: The Kedama Takeover,1.1.2,BroDute,100,2020-12-21,Star Revenge 4 - The Kedama Takeover v1.1.2,
Super Mario and the Grand Star,1.1 Sober Edition,Grand Star & aglab2,116,2020-12-27,Super Mario and the Grand Star v1.1 Sober Edition,
Super Mario 74 & EE,0.99,Lugmilord & scuttlebug_raiser,308,2020-12-26,SM74.EEv.99,
Dorrie Treasure Hunt,Console Release,scuttlebug_raiser,3,2020-12-28,Dorrie_Treasure_Hunt_Console,
Play as Koopa Troopa,2.0+,TKoopa,120,2020-12-27,KoopaTroopaV2.0,
Play as Koopa Troopa,2.0+ Pink Screen,TKoopa,,2020-12-27,KoopaTroopaV2.0 Pinkscreen,
Super Bandy Rescue 64,1.0 Optimized,Team Cornersoft & ZaperX,,2020-08-24,Super Bandy Rescue Optimized,SimpleFlips Competition 1
Super Mario 64 - Twisted Adventures: Intense Challenge 2,Final Demo,Tomatobird8 & SomeRussianMarioDude,22,2020-12-28,SM64 - Twisted Adventures Intense Challenge 2 Cancelled Project Demo,
Super Luigi 64 The Flower Cup,1.1,usernamesarespiders,166,2020-12-17,SL64 The Flower Cup 1.1,
Ztars of the Ztupid,0.2bc Katze's Nerf,MBCollector672 & katze789,43,2020-10-28,ztars of the beast nerfed,
SM64 Lost Universe 2 - Curse of Eternity,Demo 5 3.0,Bubby64,,2020-12-29,Lost Universe 2 - Curse of Eternity (Demo 5 v3.0),
Super Mario 64 - Twisted Adventures: Intense Challenge 2,Final Demo (Katze's Nerf),Tomatobird8 & SomeRussianMarioDude & katze789,22,2021-01-01,TAIC2 Nerfer (Katze Edition),
Master Quest -3 Mario Swims to China,1.0,Cavin856,6,2021-01-01,MQ-3 Mario Swims to China,
Victory Kingdom,1.1,ShiN3,,2021-01-01,Victory Kingdom Fix,
Super Luigi 64 The Flower Cup,1.2,usernamesarespiders,166,2020-12-29,SL64 The Flower Cup 1.2,
Star Revenge 1.5: Star Takeover Redone,2.2.1,BroDute,125,2020-11-02,SR1.5 - Star Takeover Redone v2.2.1,
Victory Kingdom,1.1.1,ShiN3,,2021-01-02,Victory Kingdom Fix Again,
SM64 but there is a Goomba Plague,1.0,Kaze,120,2021-01-01,IsItPossibleToBeatMarioIwth2500Goombas,
Smart Spheres,Beta Final,prakxoelpatatita & IcySkid,175,2021-01-02,SSfinalBETA,
Super Die in a Fire 64,1.0,MBCollector672,,2021-01-02,Super Die in a Fire 64,
School,Update 1,snow channel,,2020-12-29,School Patch (WIP),
Wanted 64,1.0,someone2639,,2020-12-04,Wanted 64 by someone2639,
Super Perio 64,1.0,PETEESE,,2020-10-31,SuperPerio64v1,
Mini Mario The Green Stars,1.0,Kampel125 & loohoo,130,2021-01-05,Mini_Mario_The_Green_Stars,
Mini Mario Star Road,1.0,Skelux & FireMario74,130,2020-01-05,Mini_Mario_Star_Road,
Super Luigi 64 The Flower Cup,1.3b,usernamesarespiders,166,2021-01-03,SL64 The Flower Cup 1.3b,
Screwed Up 2 - Weirdness Edition,1.0,,,,Screwed Up 2 - Weirdness Edition,
Stan 64,Christmas Demo,BlackJoystick,,2020-12-25,Stan 64 Christmas Demo,
Super Mario 76 Strange Adventure,1.1,NormalX71 & Progji,140,2021-01-06,Super Mario 76 Strange Adventure 1.1 Fixed Warps,
Super Mario and the Grand Star,1.2,Grand Star,116,2021-01-07,Super Mario and the Grand Star v1.2,
Surreal Mario 64 1,Beta 0.8,Cavin856,40,2021-01-05,Surreal_Mario_64_1_Beta_0.8,
The Mariolorian,New Year's Demo,jnorthgbc,120,2021-01-01,The_Mariolorian_New_years_Demo,
Super Tails 64,1.0,legony64,120,2020-09-04,Super Tails 64,
Tool Gun in SM64,2.0,Rovert,120,2020-04-24,SM64 Toolgun 2.0.0,
Super Mario Star Road: The Green Comet,1.0 English,Skelux & Biobak,150,2021-01-08,SMSR Green Comet,
Super Mario Star Road: The Green Comet,1.0 Francais,Skelux & Biobak,150,2021-01-08,SMSR Green Comet FR,
Extreme Island,1.0,Dan-GPTV,8,2021-01-08,Extreme Island,
Super Mario New Star,1.2 English (With Cheats),Midoji,132,2020-01-12,new star with cheats,
Super Mario Star Road: The Green Comet,1.1 English,Skelux & Biobak,150,2021-01-11,SMSR The Green Comet 1.1,
Super Mario Star Road: The Green Comet,1.1 Francais,Skelux & Biobak,150,2021-01-11,SMSR The Green Comet FR 1.1,
Purple Sand Forest,1.0,goop,9,2020-11-08,Purple Sand Forest,
SM64 BlueRed,1.1,Caasje,17,2020-03-23,sm64 BlueRed 1.1,
Princess Peach Sex Hack,1.0.2,MrComit,40,2020-11-02,Princess Peach Sex Hack 1.0.2,
Princess Peach Sex Hack,1.1,MrComit,40,2020-11-13,Princess Peach Sex Hack 1.1,
SM64 The Search For The 120 Stars Extended,1.0,GameXenoZero64,150,2021-01-15,SM64 The Search For The 120 Stars Ext,
King Boo's Revenge X,1.9,thebloody7,160,2021-01-19,KBR X (v1.9),
Super Mario 74 - Ten Years After,1.0,LinCrash,154,2021-01-25,Super Mario 74 - Ten Years After,
Super Mario 74 - Ten Years After,1.0.1,LinCrash,154,2021-01-25,Super Mario 74 - Ten Years After 1.0.1,
Victory Malediction,1.0,ShiN3,,2021-01-26,Victory_Malediction,
New Mario 64,Demo 1,Scarlet,,2021-01-24,NM64_First_Demo,
Super Mario 74 - Ten Years After,1.74,LinCrash,155,2021-01-31,Super Mario 74 - Ten Years After (v1.74),
Super Mario 74 - Ten Years After,1.74.1,LinCrash,155,2021-02-02,Super Mario 74 - Ten Years After (v1.74.1),
Play as Scary Piano,1.0,Kaze,120,2021-02-01,Play as Piano,
Super Mario 32,2.4.1,Progji,45,2021-02-03,Super Mario 32 v2.4.1 EMU,
Super Mario 32,2.4.1 N64 Version,Progji,45,2021-02-03,Super Mario 32 v2.4.1 N64,
Super Mario 74 Extreme Edition,English 2.0 (Artism's Nerf),Lugmillord & ArtismScrub,157,2020-01-24,SM74 Extreme Edition v2.0,
Duddy's Piano World: The Con-troll-er,1.0,Dan-GPTV,1,2021-01-29,DPW The Con-troll-er,
Rot ist Tot Extrem,1.0,blackshadowdrybones,136,,super_mario_64_Rot_ist_Tot_extrem,
Impeccable Design 3: Mazio Extreme Edition,1.0,prakxoelpatatita,7,2021-02-05,ID3_MEE,
Victory Crescent,1.0,ShiN3,95,2021-02-05,Victory_Crescent,
Victory Crescent,1.1,ShiN3,95,2021-02-06,Victory_Crescent_11,
Chaotic Collab,1.0,various,7,2021-02-10,Chaotic Collab v1.0,
Night of Doom: The Green Comet,Beta 1,BroDute & StanFuzz & Focus_SR,152,2021-02-11,Night of Doom The Green Comet,
Night of Doom: The Green Comet,Beta 1 Parallel Lakitu,BroDute & StanFuzz & Focus_SR,152,2021-02-11,Night of Doom The Green Comet Paracam,
Mario's Journey Into Madness 64,1.0,Katx,0,2021-02-10,Marios_journey_into_madness_64,
Impeccable Design 4 - Despicable Desert Dream,1.0,Bubby64,4,2021-02-10,Impeccable Design 4 - Despicable Desert Dream,
Climbing Course,1.0,ben3759,1,2018-06-24,Climbing Course,
Chaotic Collab,1.01,various,7,2021-02-12,Chaotic Collab v1.01,
Super Mario Stellato 1.5,1.0,Rulu & Itsri,107,2021-02-13,SM64 Stellato v1.0.0,
Night of Doom: The Green Comet,Beta 2,BroDute & StanFuzz & Focus_SR,152,2021-02-11,Night_of_Doom_The_Green_Comet,
Night of Doom: The Green Comet,Beta 2 Parallel Lakitu,BroDute & StanFuzz & Focus_SR,152,2021-02-11,Night_of_Doom_The_Green_Comet_paracam,
Night of Doom: The Green Comet,1.0,BroDute & StanFuzz & Focus_SR,152,2021-02-13,NoDGreens,
Super Mario Stellato 1.5,1.0.4,Rulu & Itsri,107,2021-02-14,SM64 Stellato v1.0.4,
SM64 Blue Star Adventure,1.5.1 Deluxe,Bubby64,145,2017-05-27,SM64 Blue Star Adventure 1.5.1 Deluxe,
Bowser's CBT Reds,1.0,Dolphino,1,2021-02-15,Bowsers_CBT_Reds,
TFF: First Floor,Demo,Jumpinjax032,,2021-02-15,Forbidden Floor Tape,
Super Mario 64 King Boo's Revenge,1.8,thebloody7,168,2021-02-17,Super Mario 64 King Boos Revenge 1.8,
Depressing Lack of Creativity 64,1.2,UsernamesAreHard74,126,2021-02-17,Depressing Lack of Creativity 64 1.2,
Golden Sun 64,1.0,Cheezepin,,2021-02-20,Golden Sun 64,
Super Mario Cant Stop,Release,Akuro,1,2021-02-24,Super_Mario_Cant_Stop,
Super Mario Cant Stop,Fix2,Akuro,1,2021-02-24,Super_Mario_Cant_Stop_Fix2,
Return to Yoshi's Island 64,Demo,Kaze,,2021-02-26,Return To Yoshis Island 64 DEMO,
Chaotic Collab,1.1,various,7,2021-02-28,Chaotic Collab v1.1,
Chaotic Collab,1.1.1,various,7,2021-03-01,Chaotic Collab v1.1.1,
SM64 The Dark Stars,Demo,Caasje,,2019-07-08,SM64_hack_by_Caas_DEMO,
SM64 The Dark Stars,1.0,Caasje,75,2021-03-01,Dark Stars,
Night of Doom: The Green Comet,1.1,BroDute & StanFuzz & Focus_SR,152,2021-03-02,NoDGreensFinal,
Compact Challenges,Demo v0.1.1,Iwer Sonsch,14,2021-03-02,Compact_Challenges_Demo_v0.1.1,
Chaotic Collab,1.1.1_r1,various,7,2021-03-02,Chaotic Collab v1.1.1_r1,
Super Mario 64 XXL,1.0,Blakeoramo,120,2021-03-03,Super Mario 64 XXL,
dj0nk's Junk,1.0,dj0nk,8,2021-03-03,dj0nks Junk,
SM64 The Dark Stars,1.0.1,Caasje,75,2021-03-04,SM64_The_Dark_Stars_1.0.1,
Chaotic Collab,1.1.1_r1-f,various,7,2021-03-05,Chaotic_Collab_v1.1.1_r1-f,
Chaotic Collab,SRM,various,7,2020-12-29,Chaotic Collab SRM,
The Phantom's Christmas Call,2.0 English,PhantomPhire,30?,2021-03-08,The Phantoms Call [English],
The Phantom's Christmas Call,2.0 Deutsch,PhantomPhire,30?,2021-03-08,The Phantoms Call [German],
Superman 64 64 - Rebirth,1.0,Pastaramo,,2021-03-08,Superman 64 64 - Rebirth,
dj0nk's Junk,Easy Edition,dj0nk,8,2021-03-10,dj0nks Junk EE,
Super Mario 64 Sonic Edition,3.1,Thoddis,120,2021-02-17,Mario64SonicEditionPatchROM,
Firsties,1.0,Pyro Jay,,2021-02-13,firsties_,
Jim 64,1.0,i am cooler than you,120,2021-02-13,Jim_64,
Jim 64 Jim Road,1.0,i am cooler than you,130,2021-02-13,Jim_64_Jim_Road,
Chartreuse Star Adventure,N64 Compatible,scuttlebug_raiser,21,2021-02-14,CSA_N64,
Victory Zephyr,1.0,ShiN3,,2021-03-15,Victory_Zephyr,
Stan 64,1.0,BlackJoystick,44,2021-03-15,Stanley 64 Official Release,
Stan 64,1.1,BlackJoystick,44,2021-03-16,Stanley 64 Official Release 1.1,
Bowser's CumJar 64,1.0,Katx,,2021-03-15,Bowsers_CumJar_64,
Super Mario 64 - The Parallel Universes,1.0,SpK,7,2021-03-15,SM64 - The Parallel Universes,
Lava Lava Lava Lava,1.0,Tomatobird8,7,2021-03-01,Lava Lava Lava Lava,
Little Worlds,1.0,Tomatobird8,5,2021-03-02,Little Worlds,
Dackage Practice 1,1.0,Dackage,21,2021-03-02,dackage_practice_1,
Dackage Practice 1,2.0,Dackage,21,2021-03-08,dackage_practice_1_-_V2,
Victory Garbage,1.0,ShiN3,7,2021-03-04,Victory_Garbage,
Heightmap 64,1.0,Tomatobird8,32,2021-03-05,heightmap 64,
Chili 64,1.0,prakxoelpatatita,7,2021-03-06,Chili64,
Chili 64,1.0.1,prakxoelpatatita,7,2021-03-07,chil641.0.1,
Classic Skylands,Challenge Edition,Tomatobird8,7,2021-03-07,classic_skylands,
SM64 The Dark Stars - Unused Levels,1.0,Caasje,10,2021-03-08,Dark_Stars_Unused_Levels,
Katze Stuck in the Inferno 64,1.0,Morningstorm,38,2021-03-09,Katze_Stuck_in_the_Inferno_64,
Wang 80,1.0,goop,7,2021-03-10,Wang 80,
Unnerfed Normal,1.0,NormalX71 & MBCollector672,1,2021-03-10,unnerfed normal,
Little Dimension,1.0,SomeBro,7,2021-03-11,Little_Dimension,
KatzeKatzeKatzeKatzeKatzeKatzeKatzeKatze,1.0,SirNoCancel,7,2021-03-12,KatzeKatzeKatzeKatzeKatzeKatzeKatzeKatze,
Bowser's Church (Minihack for Katze),1.0,Tomatobird8,10,2021-03-13,Bowsers Church,
Katze and the Zealous Escapism 64,1.0,GmdDoesDMG,4,2021-03-14,KatZE64,
ROM Hacks Are Hard,1.0,UsernamesAreHard74,14,2021-03-15,ROM_Hacks_Are_Hard,
Little Comets,1.0,Tomatobird8,31,2021-03-16,Little Comets,
Dackage Practice 2,1.0,Dackage,14,2021-03-16,dackage_practice_2_-_V1,
Star Revenge 0 - Galaxy of Origins,1.0.2,BroDute,122,2021-03-17,SR0 - Galaxy of Origins v1.0.2,
Star Revenge 0 - Galaxy of Origins,1.0.3,BroDute,122,2021-03-18,SR0 - Galaxy of Origins v1.0.3,
Cube 64,1.0,Coolingcake,,2021-02-17,Cube 64,
Dackage Practice 2,3.0,Dackage,14,2021-03-19,dackage_practice_2_-_V3,
Drawn To Life 64,1.0,CowQuack,,2021-03-19,Drawn To Life 64,
Path of Eternity,1.0,Katx,7,2021-03-18,kitty,
Katze Stuck in the Banger Music 64,1.0,Morningstorm,15,2021-03-20,Katze_Stuck_in_the_Banger_Music_64,
Star Revenge 0 - Galaxy of Origins,1.0.1 (Frame's Wall Patch),BroDute,122,2021-03-21,Star Revenge 0 - Galaxy of Origins v1.0.1 - frameswalls,
Star Revenge 0 - Galaxy of Origins,1.0.3 (Invis Wall Fix),BroDute,122,2021-03-26,Star Revenge 0 - Galaxy of Origins v1.0.3 - inviswallfix,
Super Marion't-xty Four,1.0,Cavin856,50,2021-04-01,Super Mariont-xty Four V1.0,
Amogus 64,1.0,Kaze(?),120,2021-03-15,Amogus,
I'm A Tire,1.0,jnorthgbc,120,2021-03-30,Im_a_Tire,
SM64 But It's Unnecessarily Realistic,1.0,Kaze,120,2021-04-01,NintendoHireThisMan,
O3_SM64,1.0,Blakeoramo,,2021-04-01,O3_SM64,
Project EEX,Demo,,,2020-09-13,Project EEX,
Project Power '95,Demo,Shadow Mario,,2019-11-24,Project Power 95 - DEMO (U),
Smart Spheres,Beta Final 2,prakxoelpatatita & IcySkid,175,2021-04-01,SSfinalBETA2,
Super Mario 07,Demo,Alex Zockt,29,2021-03-22,Super_Mario_07_Demo_Eng,
Super Mario Delta 64,1.0,NicoSwitch,13,2021-03-30,Super_Mario_Delta_64,
Super Mario 3/31,1.0,CowQuack,,2021-04-01,supur mario 331,
Victory Plush,1.0,ShiN3,38,2021-03-31,Victory_Plush,
Duddy's Piano World: The Con-troll-er: The Burger Comet,1.0,Dan-GPTV,20,2021-03-21,DPW_-_TCTE_-_The_Burger_Comet,
Super Mario New Comet,Beta 1,Midoji & Tomatobird8,164(?),2021-03-22,Super Mario New Comet beta,
Super Mario New Comet,Beta 2,Midoji & Tomatobird8,167(?),2021-03-23,Super Mario New Comet beta 2,
Super Mario New Comet,Beta 3,Midoji & Tomatobird8,169,2021-03-23,Super Mario New Comet beta 3,
Dackage Practice 3,1.0,Dackage,7,2021-03-23,dackage_practice_3_-_V1,
Outdated Romhackdotexe Style Troll Hack,1.0,Dan-GPTV,1,2021-03-26,Outdated_romhackdotexe_style_troll_hack,
2 Bad Ideas,1.0,Caasje,,2021-03-26,2_bad_ideas,
Aglab's Daily Katze Hack,1.0,aglab2,1,2021-03-27,aglabsdailykatzehack,
Dackage Practice 4,1.0,Dackage,7,2021-03-29,dackage_practice_4_-_V1,
Stardust Sanctuary,1.0,AndrewSM64,7,2021-03-29,Stardust_Sanctuary,
Stardust Sanctuary,1.0.1,AndrewSM64,7,2021-03-29,Stardust_Sanctuary1.0.1,
Stardust Sanctuary,Final,AndrewSM64,7,2021-03-30,Stardust_Sanctuary_Final,
Little Extremes,Beta 0.8,Tomatobird8,35,2021-03-23,Little Extremes Beta 0.8,
Treasure World 1.5 - TsucnenT's Nightmare,1.0,Yuya & Harasy,2,2021-04-03,Treasure World 1.5 - TsucnenTs Nightmare (v1.0),
The Breath of the Garlic 2,1.0,jnorthgbc,,2021-04-02,The_BOTG_2,
Super 64,1.0,AloXado,,2021-04-01,super64,
NOTHING 64 2,1.0,someone2639,,2021-04-01,NOTHING 64 2 by someone2639,
Lug's Tiny Torture,1.0 English,Lugmillord,74,2021-04-10,Lugs Tiny Torture V1.0EN,
Lug's Tiny Torture,1.0 Deutsch,Lugmillord,74,2021-04-10,Lugs Tiny Torture V1.0DE,
Void of Insanity,1.1,Goop,32,2021-04-14,VOID_OF_INSANITY,
Super Mario Integration of Fragments,1.0.0,various,182,2021-04-10,Super_Mario_Integration_of_Fragments ver1.0.0,
Super Mario Integration of Fragments,1.0.1,various,182,2021-04-11,Super_Mario_Integration_of_Fragments ver1.0.1,
Super Mario Integration of Fragments,1.0.2,various,182,2021-04-11,Super_Mario_Integration_of_Fragments ver1.0.2,
Super Mario Integration of Fragments,1.0.3,various,182,2021-04-13,Super_Mario_Integration_of_Fragments ver1.0.3,
Super Mario Integration of Fragments,1.0.4,various,182,2021-04-13,Super_Mario_Integration_of_Fragments ver1.0.4,
Super Mario Integration of Fragments,1.0.5,various,182,2021-04-13,Super_Mario_Integration_of_Fragments ver1.0.5,
Super Mario Integration of Fragments,1.0.6,various,182,2021-04-14,Super_Mario_Integration_of_Fragments ver1.0.6,
Super Mario Integration of Fragments,1.0.7,various,182,2021-04-14,Super_Mario_Integration_of_Fragments ver1.0.7,
Super Mario 64 Into Bowser's Castle,1.0,Deinol,120,2021-04-12,Super Mario 64 Into Bowsers Castle bps,
Mario & Luigi Dual Adventure,1.1,Reonu,1,2021-03-29,Mario.Luigi.Dual.Adventure.1.1,
Path of Eternity,1.1,Katx,7,2021-04-15,kitty_,
Mario Can't Remember,1.0,Quills,30,2021-04-15,Mario Cant Remember v1.0,
Mario's Vacation Course 64,1.0,Reonu,30,2021-04-16,Mario.s.Vacation.Course.1.0,
Mario and the Mystic Purple Stars,1.4,Progji,115,2021-04-20,MPS_1.4,
Path of Eternity,1.2,Katx,7,2021-04-18,kitty__,
Super Mario Integration of Fragments,1.0.8,various,182,2021-04-14,Super_Mario_Integration_of_Fragments ver1.0.8,
Super Mario Integration of Fragments,1.1.0,various,182,2021-04-17,Super_Mario_Integration_of_Fragments ver1.1.0,
Super Mario Integration of Fragments,1.1.1,various,182,2021-04-17,Super_Mario_Integration_of_Fragments ver1.1.1,
Super Mario Integration of Fragments,1.1.2,various,182,2021-04-17,Super_Mario_Integration_of_Fragments ver1.1.2,
Super Mario Integration of Fragments,1.1.3,various,182,2021-04-17,Super_Mario_Integration_of_Fragments ver1.1.3,
Super Mario Integration of Fragments,1.1.4,various,182,2021-04-19,Super_Mario_Integration_of_Fragments ver1.1.4,
Super Mario Integration of Fragments,1.1.5,various,182,2021-04-20,Super_Mario_Integration_of_Fragments ver1.1.5,
Super Mario 64 Into Bowser's Castle,1.2,Deinol,120,2021-04-19,Super Mario 64 Into Bowsers Castle bps 1.2,
Super Mario Stellato 1.5,1.1.0,Rulu & Itsri,107,2021-04-20,SM64 Stellato v1.1.0,
REALLY REAL CBT 64,1.1,Pyro Jay,,2021-01-29,REALLYREALCBT64 1.1,
SM64 Melee,1.0,Kaze,120,2021-04-15,SM64 Melee,
Super Mario Delta 64,1.1,NicoSwitch,13,2021-04-21,Super_Mario_Delta_64_1,
Mario's Vacation Course 64,1.0.1,Reonu,30,2021-04-20,Marios_Vacation_Course_1.0.1,
Mario Can't Remember,1.1,Quills,30,2021-04-23,MCR_1.1,
Super Mario 64 Into Bowser's Castle,1.3,Deinol,120,2021-04-23,Super Mario 64 Into Bowsers Castle bps 1.3,
Lug's Tiny Torture,Lite 1.0 English,Lugmillord,74,2021-04-21,LTT_Lite_V1.0EN,
Lug's Tiny Torture,Lite 1.0 Deutsch,Lugmillord,74,2021-04-21,LTT_Lite_V1.0DE,
Lug's Tiny Torture,Hardcore 1.0 English,Lugmillord,74,2021-04-21,LTT_Hardcore_V1.0EN,
Lug's Tiny Torture,Hardcore 1.0 Deutsch,Lugmillord,74,2021-04-21,LTT_Hardcore_V1.0DE,
Super Mario Integration of Fragments,1.1.6,various,182,2021-04-23,Super_Mario_Integration_of_Fragments ver1.1.6,
Super Mario Integration of Fragments,1.2.0,various,182,2021-04-25,Super_Mario_Integration_of_Fragments ver1.2.0,
Super Mario Integration of Fragments,1.2.1,various,182,2021-04-28,Super_Mario_Integration_of_Fragments ver1.2.1,
Kirby Goes to Wendy's 64,1.0,Cheezepin,,2021-04-28,Kirby Goes to Wendys,
Mario's Vacation Course 64,1.0.2,Reonu,30,2021-04-25,Mario.s.Vacation.Course.1.0.2,
Mario's Vacation Course 64,1.1,Reonu,30,2021-04-27,Marios_Vacation_Course_1.1,
Super Mario Integration of Fragments Append,1.0.0,various,14,2021-04-10,Super_Mario_Integration_of_Fragments Append ver1.0.0,
Water Star Adventure,1.0,scuttlebug_raiser,30,2021-04-24,WSA,
Water Star Adventure,Pre-Release,scuttlebug_raiser,30,2021-04-17,WSA_Pre_Release,
Star Revenge 0 - Galaxy of Origins,1.0.4,BroDute,122,2021-04-24,Star Revenge 0 - Galaxy of Origins v1.0.4,
Mario & Luigi Dual Adventure,1.0,Reonu,1,2021-03-15,Mario.Luigi.Dual.Adventure.1.0,
Mario & Luigi Dual Adventure,1.0.1,Reonu,1,2021-03-20,Mario.Luigi.Dual.Adventure.1.0.1,
Mario & Luigi Dual Adventure,1.0.2,Reonu,1,2021-03-24,Mario.Luigi.Dual.Adventure.1.0.2,
Mario & Luigi Dual Adventure,1.0.3,Reonu,1,2021-03-24,Mario.Luigi.Dual.Adventure.1.0.3,
Mario & Luigi Dual Adventure,1.0.4,Reonu,1,2021-03-24,Mario.Luigi.Dual.Adventure.1.0.4,
Mario 64 Widescreen,1.0,Reonu,120,2021-04-09,Mario 64 Widescreen,
Mario's Vacation Course 64,1.1.1,Reonu,30,2021-05-08,MVC_1.1.1,
Water Star Adventure,1.1,scuttlebug_raiser,30,2021-05-08,WSA1.1,
Void of Insanity,1.1.1,Goop,32,2021-05-06,Void_of_Insanity_V_1.1.1,
Impeccable Design 555 - Brightful Space Edition,1.0,Rhymew555,,2021-05-07,Impeccable Design 555 - Brightful Space Edition,
Through the Nightmare,Demo,JustScarlight,,2021-05-01,Through_the_Nightmare_-_DEMO,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.3.3,ShiN3 & Bubby64,170,2021-05-07,Lost Universe 1.5 Kappowsers Legacy v1.3.3,
Molten Magma Land,1.0,usernamesarespiders,7,2021-05-05,Molten Magma Land,
SM74E0 - The Red Stars,1.0,Lugmillord & Cavin856,99,2021-05-11,SM74E0_-_The_Red_Stars,
Mario Aimlessly Drives a Car Around the City 64,1.0,CowQuack,30,2021-04-16,Mario Aimlessly Drives a Car Around the City 64,
Mario Aimlessly Drives a Car Around the City 64,1.0 RTA Edition,CowQuack,30,2021-04-25,Mario Aimlessly Drives a Car Around the City 64 RTA Edition,
SimpleFlips' 11th Hacking Competition [pack] (Mystery),,,,,SimpleflipsCompetition11,
SimpleFlips' 12th Hacking Competition [pack] (Zelda),,,,,SimpleflipsCompetition12,
Victory Fuck,1.0,ShiN3,2,2021-05-11,Victory_Fuck,
Victory Fuck,1.1,ShiN3,2,2021-05-11,Victory_Fuck_,
Ahmet's Adventure 64 - The Darker Adventure,1.1,AhmetTR38 & ForeverPark,41,2018-09-01,AA64,
Bowser's CBT Reds,1.1,Dolphino,1,2021-05-12,Bowsers CBT Reds (actually functioning better collision),
SM64 Bingo,0.10a,Quate32,,2021-05-13,bingo64.0.10a,
Star Revenge 3: Mario on An Saoire,1.2,BroDute,65,2021-05-15,SR3 - Mario on An Saoire v1.2,
Super Mario Treasure World,Fixed Warps,Rambi_Rampage & Loudermonkeyboy,182,2021-05-16,TW_FixedWarps,
Evo Q,1.0,Team Cornersoft,7,2021-05-16,Evo Q (v1.0),
Evo Q,1.11,Team Cornersoft,7,2021-05-17,Evo Q (v1.11),
Tarrey Town 64,Demo,Reonu,,2021-05-19,Tarrey.Town.64.Demo,
Star Revenge 4.5: The Kedama Takeover Rewritten,1.3,BroDute,100,2021-05-21,SR4.5 - The Kedama Takeover Rewritten v1.3,
Evo Q,1.12,Team Cornersoft,7,2021-05-21,Evo Q - Team Cornersoft [v1.12],
Realm Invasion Green Comet,1.01,SomeBro & GmdDoesDMG,,2021-05-17,RI_Green_Comet_1.01,
Plush Digital Media Edition,1.0,prakxoelpatatita,,2021-05-17,Plush_Digital_Media_Edition,
Momentum Testing,1.0,Iwer Sonsch,,2021-05-20,Momentum_testing,
Super Marion't-xty Four,1.0.1,Cavin856,50,2021-05-17,Super Mariont-xty Four V1.0.1,
SM64 Shining Stars Extreme,Course 1 Edit,sm64pie & KingToad64,7,2021-05-22,Shining_Stars_Extreme,
Mario's Vacation Course 64,1.2,Reonu,30,2021-05-24,Marios_Vacation_Course_1.2,
Wario's Farm,1.0,ShrekSlaught,7,2019-07-02,Super_Mario_Conquest,
Water Star Adventure,1.2,scuttlebug_raiser,30,2021-05-25,WSA1.2,
Stomp Simulator,1.0,someone2639,,2021-05-15,stomp simulator,
Gay Baby Road,2.0,KeyBlader,9,2021-05-22,Gay Baby Road (v2),
I've Made Several Awful Desicions In My Life. What About You 64,1.0,Romcad_,,2021-04-01,IMSADIMLWAY64 1.0,
SM64 The Nostalgia Trip,4 Course Demo,BlackJoystick,,2021-05-27,SM64 The Nostalgia Trip,
Ultra Luigi 66.237,1.0,JaydenSM64,7,2021-05-27,Ultra Luigi 66.237,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.3.4,ShiN3 & Bubby64,170,2021-06-01,Lost Universe 1.5 Kappowsers Legacy v1.3.4,
SM64 Lost Universe 1.5 Kappowser's Legacy,1.3.5,ShiN3 & Bubby64,170,2021-06-03,Lost Universe 1.5 Kappowsers Legacy FINAL,
Star Revenge 3.5: Vacation of Cursed Dreams,1.3.2,BroDute,133,2021-06-05,SR3.5 - Vacation of Cursed Dreams v1.3.2,
Parallel Stars,Beta Fixed Warps by mintcheep,Funila & mintcheep,117,2021-06-07,SM Parallel Stars fixed warps,
Friday Night Funkin 64,1.0,someone2639,0,2021-06-12,Friday Night Funkin 64 by someone2639,
Super Mario 64 XXL,1.1,Blakeoramo,120,2021-06-16,SM64.XXL.Version.1.1,
Water Star Adventure,1.3,scuttlebug_raiser,30,2021-06-20,WSA1.3,
