スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Invasion Gumba,1.0,Gamelefant,7,2015-09-22,Invasion Gumba,SirRouven's Hack Pack
Invisible Mario 64,1.0,The Ultimate Pichu,,2018-08-31,Invisible Mario 64,
Isabelle 64,1.2 English,AloXado,120,,Isabelle 64 1.2 English,
Isabelle 64,1.0,AloXado,120,,Isabelle 64,
Isabelle 64,1.1,AloXado,120,,Isabelle 64 1.1,
jabo,1.0,aglab2,,,jabo,
Janja Mini Hack Pack [pack],,Janja,,,JANJA MINI HACK PACK,
Jump Man LXIV,1.0?,Cheezepin,,2019-09-19,Jump Man LXIV,SimpleFlips Competition 9
Jump Man's Challenge,Beta 1,NinjaPooff,,,Jump Mans Challenge Beta1,
Jump Man's Challenge,Beta 2,NinjaPooff,,,Jump Mans Challenge BETA2,
Jumping Over It with Nathaniel Bandy,1.0,Kaze,1,2018-08-06,Jumping Over It with Nathaniel Bandy,SimpleFlips Competition 1
Jumping Over It with Nathaniel Bandy,1.0 Eddio's Patch,Kaze & Eddio0141,1,2018-08-06,Jumping Over It with Nathaniel Bandy_f,SimpleFlips Competition 1
Kaizo Mario 64,1.0,OmegaEdge29,120,,Kaizo Mario 64,
Kaizo Mario 64 2,1.0,MarvMario,108,,Kaizo Mario 64 2,
Kaizo Mario 64 Multiplayer,1.0,OmegaEdge29 & blakeoramo,120,,Kazio_Mario_64_Multiplayer,
KAIZO Super Banjo-Kazooie 64,1.0,NormalX71,72,,KAIZO Super Banjo-Kazooie 64,
Karl Land 64,1.0,BroDute & Rycuda,,,Karl Land 64,
Kaze's Warmup,1.0,Kaze,14,2014-09-11,Kazes Warmup,
King Boo's Revenge 2,Final 1.0,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.0,
King Boo's Revenge 2,Final 1.1,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.1,
King Boo's Revenge 2,Final 1.2,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.2,
King Boo's Revenge 2,Final 1.3,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.3,
King Boo's Revenge 2,Final 1.4,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.4,
King Boo's Revenge 2,Final 1.5,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.5,
King Boo's Revenge 2,Final 1.6,thebloody7 & sizzlingmario4,182,2018-07-23,King Boos Revenge 2 Final v1.6,
Kitty Castle,1.0,Sibley,,,kittycastle,
Kitty Hill 64,1.0,Sibley,7,2018-08-06,Kitty Hill 64,
Kitty Hill 64 EE,1.0,Sibley & Tomatobird8,7,2018-08-15,Kitty Hill 64 ee,
Kraft Dinner 64,0.02,Ninja Weedle 64,,,Kraft Dinner 64 V0.02,
Kraft Dinner 64,0.04,Ninja Weedle 64,,,Kraft Dinner 64 V0.04,
Kraft Dinner 64,0.1,Ninja Weedle 64,,,Kraft Dinner 64 V0.1,
